entry_threshold,exit_threshold,entry_price_adjustment,exit_price_adjustment,2--1,2-0,2-1,total_profit
5.0,1.0,4.0,0.0,61332,50192,20817,132341
5.0,0.5,4.0,0.0,61231,50192,20668,132091
5.0,0.5,4.0,1.0,61454,49423,20249,131126
5.0,1.0,4.0,1.0,61228,48996,20398,130622
5.25,0.5,5.0,0.0,63568,44111,17625,125304
5.5,1.0,5.0,0.0,61519,45466,18242,125227
5.5,1.0,4.0,0.0,61625,37371,26198,125194
5.25,1.0,5.0,0.0,63302,44111,17763,125176
5.5,0.5,5.0,0.0,61542,45466,18104,125112
5.5,0.5,4.0,0.0,61571,37371,26049,124991
5.5,0.5,4.0,1.0,61826,37178,25457,124461
5.5,1.0,4.0,1.0,61756,36646,25606,124008
5.25,0.5,5.0,1.0,63132,43374,17084,123590
5.5,0.5,5.0,1.0,61027,44659,17595,123281
5.25,1.0,5.0,1.0,62606,42857,17222,122685
5.5,1.0,5.0,1.0,60737,44142,17733,122612
5.25,1.0,4.0,0.0,61555,35756,24868,122179
5.75,1.0,5.0,0.0,58922,43320,19696,121938
5.75,0.5,5.0,0.0,58830,43320,19558,121708
5.25,0.5,4.0,0.0,61215,35756,24719,121690
5.25,0.5,4.0,1.0,61486,35631,24143,121260
5.75,0.5,5.0,1.0,59065,43032,19000,121097
5.25,1.0,4.0,1.0,61619,35176,24292,121087
5.75,1.0,5.0,1.0,58997,42541,19138,120676
6.0,1.0,4.0,0.0,55554,34845,29443,119842
5.75,1.0,4.0,0.0,57075,33623,29090,119788
6.0,0.5,4.0,0.0,55494,34845,29292,119631
5.75,0.5,4.0,0.0,56988,33623,28941,119552
6.0,1.0,4.0,1.0,56653,33709,28866,119228
6.0,0.5,4.0,1.0,55748,34377,28715,118840
5.75,0.5,4.0,1.0,57254,33219,28358,118831
6.0,1.0,5.0,0.0,56219,41468,20733,118420
5.75,1.0,4.0,1.0,57173,32533,28507,118213
6.0,0.5,5.0,0.0,56093,41468,20590,118151
6.0,0.5,5.0,1.0,56337,41029,19962,117328
6.0,1.0,5.0,1.0,56286,40513,20105,116904
5.0,0.5,5.0,0.0,59170,41132,16173,116475
5.0,1.0,5.0,0.0,58914,41132,16293,116339
5.0,0.5,5.0,1.0,58746,40394,15648,114788
5.0,1.0,5.0,1.0,58242,39801,15768,113811
