,volcanic_rock_voucher_10500_d3,djembes_d3,croissants_d3,jams_d3,volcanic_rock_voucher_10000_d3,kelp_d3,volcanic_rock_voucher_9750_d3,picnic_basket1_d3,picnic_basket2_d3,volcanic_rock_voucher_9500_d3,rainforest_resin_d3,volcanic_rock_voucher_10250_d3,squid_ink_d3,volcanic_rock_d3
2000000,99.5,13493.5,4321.5,6632.0,505.5,2030.0,754.5,59228.5,30505.279069767443,1003.5,10000.0,273.5,1969.5,10503.143902439024
2000100,102.5,13493.0,4321.8231292517,6631.5,515.5,2030.0,761.5,59228.181818181816,30504.303030303032,1010.5,10000.0,279.5,1969.0,10510.182291666666
2000200,104.5,13493.172131147541,4321.825657894737,6632.0,516.5,2030.0227272727273,764.5,59232.0,30504.657894736843,1013.5,10000.0,282.5,1967.0227272727273,10513.173652694612
2000300,106.5,13493.210144927536,4321.5,6632.0,521.5,2030.5,768.5,59228.5,30501.5,1018.0,10000.0,285.5,1966.5,10517.5
2000400,102.5,13493.201612903225,4321.5,6632.0,512.5,2030.0357142857142,760.5,59230.5,30505.5,1010.0,10000.0,279.5,1967.5535714285713,10509.5
2000500,100.5,13493.76923076923,4321.5,6632.0,510.5,2029.5,757.0,59234.0,30506.333333333332,1006.5,10000.0,276.05555555555554,1968.0,10506.157738095239
2000600,99.5,13493.5,4322.0,6632.5,506.5,2029.5,754.5,59238.5,30510.680555555555,1004.5,10000.206896551725,273.5,1966.5,10503.5
2000700,98.5,13493.5,4321.793650793651,6632.0,507.5,2029.915254237288,753.5,59241.46753246753,30508.25974025974,1003.5,10000.0,273.5,1968.3728813559321,10502.860759493671
2000800,96.5,13493.5,4322.0,6632.0,500.5,2030.0,747.5,59241.5,30508.375,997.5,10000.0,268.5,1968.5,10497.5
2000900,95.5,13493.5,4321.797872340426,6632.0,498.5,2030.5,746.5,59242.5,30506.729166666668,995.5,10000.0,266.5,1968.0,10495.5
2001000,96.5,13493.5,4321.774590163935,6631.861570247934,503.5,2030.5,750.5,59238.5,30506.0,999.5,10000.0,269.5,1968.5,10498.983758700697
2001100,97.5,13493.123076923077,4321.809375,6631.5,504.5,2030.3392857142858,751.5,59237.5,30506.735294117647,1001.5,10000.344262295082,271.5,1969.3392857142858,10501.19512195122
2001200,99.5,13493.5,4321.5,6631.5,507.5,2030.8823529411766,755.5,59236.5,30509.0,1005.0666666666667,10000.0,274.5,1969.3235294117646,10504.5
2001300,102.5,13493.5,4321.244635193133,6631.5,514.0333333333333,2030.9180327868853,760.5,59231.5,30506.340909090908,1010.5,9999.76923076923,279.5,1969.6470588235295,10509.855704697986
